# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	1	1344	+					dnaA		AFK25_RS00005	1344		old_locus_tag=AFK25_00005
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	1	1344	+	WP_009361092.1	WP_009361092.1		chromosomal replication initiator protein DnaA	dnaA		AFK25_RS00005	1344	447	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	1502	2638	+					dnaN		AFK25_RS00010	1137		old_locus_tag=AFK25_00010
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	1502	2638	+	WP_009361093.1	WP_009361093.1		DNA polymerase III subunit beta	dnaN		AFK25_RS00010	1137	378	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	2737	2949	+					yaaA		AFK25_RS00015	213		old_locus_tag=AFK25_00015
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	2737	2949	+	WP_009361094.1	WP_009361094.1		S4 domain-containing protein YaaA	yaaA		AFK25_RS00015	213	70	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	2964	4079	+					recF		AFK25_RS00020	1116		old_locus_tag=AFK25_00020
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	2964	4079	+	WP_035067255.1	WP_035067255.1		DNA replication/repair protein RecF	recF		AFK25_RS00020	1116	371	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	4135	6057	+					gyrB		AFK25_RS00025	1923		old_locus_tag=AFK25_00025
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	4135	6057	+	WP_035067256.1	WP_035067256.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		AFK25_RS00025	1923	640	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	6128	8587	+					gyrA		AFK25_RS00030	2460		old_locus_tag=AFK25_00030
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	6128	8587	+	WP_035067258.1	WP_035067258.1		DNA gyrase subunit A	gyrA		AFK25_RS00030	2460	819	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	8634	9719	+							AFK25_RS00035	1086		old_locus_tag=AFK25_00035
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	8634	9719	+	WP_035067260.1	WP_035067260.1		HD domain-containing protein			AFK25_RS00035	1086	361	
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	9869	11424	+							AFK25_RS00040	1556		old_locus_tag=AFK25_00040
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	9869	11424	+				16S ribosomal RNA			AFK25_RS00040	1556		
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11580	11656	+							AFK25_RS00045	77		old_locus_tag=AFK25_00045
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11580	11656	+				tRNA-Ile			AFK25_RS00045	77		anticodon=GAT
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11669	11744	+							AFK25_RS00050	76		old_locus_tag=AFK25_00050
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11669	11744	+				tRNA-Ala			AFK25_RS00050	76		anticodon=TGC
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11849	14774	+							AFK25_RS00055	2926		old_locus_tag=AFK25_00055
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	11849	14774	+				23S ribosomal RNA			AFK25_RS00055	2926		
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	15079	15195	+					rrf		AFK25_RS00060	117		old_locus_tag=AFK25_00060
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	15079	15195	+				5S ribosomal RNA	rrf		AFK25_RS00060	117		
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	15216	15917	-							AFK25_RS00065	702		old_locus_tag=AFK25_00065
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	15216	15917	-	WP_009360713.1	WP_009360713.1		YaaC family protein			AFK25_RS00065	702	233	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	16034	17500	+					guaB		AFK25_RS00070	1467		old_locus_tag=AFK25_00070
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	16034	17500	+	WP_019417544.1	WP_019417544.1		IMP dehydrogenase	guaB		AFK25_RS00070	1467	488	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	17641	18918	+							AFK25_RS00075	1278		old_locus_tag=AFK25_00075
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	17641	18918	+	WP_049720919.1	WP_049720919.1		D-alanyl-D-alanine carboxypeptidase			AFK25_RS00075	1278	425	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	19131	20015	+					pdxS		AFK25_RS00080	885		old_locus_tag=AFK25_00080
