# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	2833780	1	-							GFC30_RS16280	966		partial;pseudo;old_locus_tag=GFC30_2970
CDS	without_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	2833780	1	-				IS110 family transposase			GFC30_RS16280	966		partial;pseudo
gene	rRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	1	2667	-							GFC30_RS00005	2667		old_locus_tag=GFC30_1
rRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	1	2667	-				23S ribosomal RNA			GFC30_RS00005	2667		
gene	rRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	3042	4595	-							GFC30_RS00010	1554		old_locus_tag=GFC30_3
rRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	3042	4595	-				16S ribosomal RNA			GFC30_RS00010	1554		
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	4892	5431	-							GFC30_RS00015	540		old_locus_tag=GFC30_4
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	4892	5431	-	WP_066321953.1	WP_066321953.1		GNAT family N-acetyltransferase			GFC30_RS00015	540	179	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	5577	6902	-							GFC30_RS00020	1326		old_locus_tag=GFC30_5
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	5577	6902	-	WP_066321955.1	WP_066321955.1		NCS2 family permease			GFC30_RS00020	1326	441	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	7217	8737	-					guaA		GFC30_RS00025	1521		old_locus_tag=GFC30_6
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	7217	8737	-	WP_148660410.1	WP_148660410.1		glutamine-hydrolyzing GMP synthase	guaA		GFC30_RS00025	1521	506	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	8970	11087	-							GFC30_RS00030	2118		old_locus_tag=GFC30_7
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	8970	11087	-	WP_066326974.1	WP_066326974.1		transglutaminaseTgpA domain-containing protein			GFC30_RS00030	2118	705	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	11108	12304	-							GFC30_RS00035	1197		old_locus_tag=GFC30_8
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	11108	12304	-	WP_066321959.1	WP_066321959.1		DUF58 domain-containing protein			GFC30_RS00035	1197	398	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	12315	13262	-							GFC30_RS00040	948		old_locus_tag=GFC30_9
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	12315	13262	-	WP_066321961.1	WP_066321961.1		MoxR family ATPase			GFC30_RS00040	948	315	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	13575	15125	+							GFC30_RS00050	1551		old_locus_tag=GFC30_10
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	13575	15125	+	WP_179946280.1	WP_179946280.1		IS1182 family transposase			GFC30_RS00050	1551	516	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	16571	17125	-							GFC30_RS00060	555		old_locus_tag=GFC30_12
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	16571	17125	-	WP_066321968.1	WP_066321968.1		hypothetical protein			GFC30_RS00060	555	184	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	17647	19125	+							GFC30_RS00065	1479		old_locus_tag=GFC30_13
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	17647	19125	+	WP_066321972.1	WP_066321972.1		IS66 family transposase			GFC30_RS00065	1479	492	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	19390	19902	-							GFC30_RS00075	513		old_locus_tag=GFC30_15
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	19390	19902	-	WP_066321976.1	WP_066321976.1		IS630 family transposase			GFC30_RS00075	513	170	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	19920	20450	-							GFC30_RS00080	531		old_locus_tag=GFC30_16
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	19920	20450	-	WP_066321978.1	WP_066321978.1		winged helix-turn-helix domain-containing protein			GFC30_RS00080	531	176	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	21159	22775	-					groL		GFC30_RS00090	1617		old_locus_tag=GFC30_17
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	21159	22775	-	WP_066321984.1	WP_066321984.1		chaperonin GroEL	groL		GFC30_RS00090	1617	538	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	22828	23112	-					groES		GFC30_RS00095	285		old_locus_tag=GFC30_18
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	22828	23112	-	WP_066321986.1	WP_066321986.1		co-chaperone GroES	groES		GFC30_RS00095	285	94	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	23372	24097	+							GFC30_RS00100	726		old_locus_tag=GFC30_19
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	23372	24097	+	WP_066321991.1	WP_066321991.1		CPBP family intramembrane metalloprotease			GFC30_RS00100	726	241	
gene	pseudogene	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	24099	24260	+							GFC30_RS17375	162		partial;pseudo
CDS	without_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	24099	24260	+				YdiK family protein			GFC30_RS17375	162		partial;pseudo
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	24304	25050	-					tatC		GFC30_RS00105	747		old_locus_tag=GFC30_20
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	24304	25050	-	WP_066321993.1	WP_066321993.1		twin-arginine translocase subunit TatC	tatC		GFC30_RS00105	747	248	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25069	25215	-							GFC30_RS00110	147		old_locus_tag=GFC30_22
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25069	25215	-	WP_084256107.1	WP_084256107.1		twin-arginine translocase TatA/TatE family subunit			GFC30_RS00110	147	48	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25231	25869	-							GFC30_RS00115	639		old_locus_tag=GFC30_23
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25231	25869	-	WP_066321995.1	WP_066321995.1		redox-sensing transcriptional repressor Rex			GFC30_RS00115	639	212	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25904	26389	-					moaC		GFC30_RS00120	486		old_locus_tag=GFC30_24
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	25904	26389	-	WP_066321997.1	WP_066321997.1		cyclic pyranopterin monophosphate synthase MoaC	moaC		GFC30_RS00120	486	161	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	26501	28426	+							GFC30_RS00125	1926		old_locus_tag=GFC30_25
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	26501	28426	+	WP_066321999.1	WP_066321999.1		ABC-F family ATP-binding cassette domain-containing protein			GFC30_RS00125	1926	641	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	28704	29717	-					tsaD		GFC30_RS00130	1014		old_locus_tag=GFC30_26
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	28704	29717	-	WP_066322002.1	WP_066322002.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tsaD		GFC30_RS00130	1014	337	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	29714	30166	-					rimI		GFC30_RS00135	453		old_locus_tag=GFC30_27
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	29714	30166	-	WP_066326976.1	WP_066326976.1		ribosomal protein S18-alanine N-acetyltransferase	rimI		GFC30_RS00135	453	150	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	30150	30860	-					tsaB		GFC30_RS00140	711		old_locus_tag=GFC30_28
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	30150	30860	-	WP_066322004.1	WP_066322004.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		GFC30_RS00140	711	236	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	30857	31315	-					tsaE		GFC30_RS00145	459		old_locus_tag=GFC30_29
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	30857	31315	-	WP_066322006.1	WP_066322006.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		GFC30_RS00145	459	152	
gene	tRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	31682	31757	-							GFC30_RS00150	76		old_locus_tag=GFC30_30
tRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	31682	31757	-				tRNA-Asp			GFC30_RS00150	76		anticodon=GTC
gene	tRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	31764	31840	-							GFC30_RS00155	77		old_locus_tag=GFC30_31
tRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	31764	31840	-				tRNA-Met			GFC30_RS00155	77		anticodon=CAT
gene	rRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	32005	32121	-					rrf		GFC30_RS00160	117		old_locus_tag=GFC30_32
rRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	32005	32121	-				5S ribosomal RNA	rrf		GFC30_RS00160	117		
gene	rRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	32325	35248	-							GFC30_RS00165	2924		old_locus_tag=GFC30_33
rRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	32325	35248	-				23S ribosomal RNA			GFC30_RS00165	2924		
gene	rRNA	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	35623	37176	-							GFC30_RS00170	1554		old_locus_tag=GFC30_35
rRNA		GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	35623	37176	-				16S ribosomal RNA			GFC30_RS00170	1554		
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	37494	38255	+					pdaB		GFC30_RS00175	762		old_locus_tag=GFC30_36
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	37494	38255	+	WP_066322009.1	WP_066322009.1		polysaccharide deacetylase family sporulation protein PdaB	pdaB		GFC30_RS00175	762	253	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	38288	38887	-							GFC30_RS00180	600		old_locus_tag=GFC30_37
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	38288	38887	-	WP_066326978.1	WP_066326978.1		KinB-signaling pathway activation protein			GFC30_RS00180	600	199	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	39035	39637	+							GFC30_RS00185	603		old_locus_tag=GFC30_38
