# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	5	2993	+							BBF96_RS00005	2989		old_locus_tag=BBF96_00005
rRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	5	2993	+				23S ribosomal RNA			BBF96_RS00005	2989		
gene	rRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3105	3221	+					rrf		BBF96_RS00010	117		old_locus_tag=BBF96_00010
rRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3105	3221	+				5S ribosomal RNA	rrf		BBF96_RS00010	117		
gene	tRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3237	3312	+							BBF96_RS00015	76		old_locus_tag=BBF96_00015
tRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3237	3312	+				tRNA-Asn			BBF96_RS00015	76		anticodon=GTT
gene	tRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3319	3393	+							BBF96_RS00020	75		old_locus_tag=BBF96_00020
tRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3319	3393	+				tRNA-Arg			BBF96_RS00020	75		anticodon=CCG
gene	rRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3582	5154	+							BBF96_RS00025	1573		old_locus_tag=BBF96_00025
rRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	3582	5154	+				16S ribosomal RNA			BBF96_RS00025	1573		
gene	rRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	5249	8236	+							BBF96_RS00030	2988		old_locus_tag=BBF96_00030
rRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	5249	8236	+				23S ribosomal RNA			BBF96_RS00030	2988		
gene	rRNA	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	8348	8464	+					rrf		BBF96_RS00035	117		old_locus_tag=BBF96_00035
rRNA		GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	8348	8464	+				5S ribosomal RNA	rrf		BBF96_RS00035	117		
gene	protein_coding	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	8935	10332	+					amrA		BBF96_RS00040	1398		old_locus_tag=BBF96_00040
CDS	with_protein	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	8935	10332	+	WP_127015264.1	WP_127015264.1		AmmeMemoRadiSam system protein A	amrA		BBF96_RS00040	1398	465	
gene	protein_coding	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	10406	10825	+							BBF96_RS00045	420		old_locus_tag=BBF96_00045
CDS	with_protein	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	10406	10825	+	WP_127015265.1	WP_127015265.1		EamA family transporter			BBF96_RS00045	420	139	
gene	protein_coding	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	10838	11437	+							BBF96_RS00050	600		old_locus_tag=BBF96_00050
CDS	with_protein	GCF_003991135.1	Primary Assembly	chromosome		NZ_CP016379.1	10838	11437	+	WP_127015266.1	WP_127015266.1		CYTH domain-containing protein			BBF96_RS00050	600	199	
