# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	181	511	-							ISX45_RS00005	331		pseudo;old_locus_tag=ISX45_00005
CDS	without_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	181	511	-				response regulator			ISX45_RS00005	331		pseudo
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	957	1190	+							ISX45_RS19310	234		
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	957	1190	+	WP_228485593.1	WP_228485593.1		hypothetical protein			ISX45_RS19310	234	77	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1209	1352	+							ISX45_RS00010	144		old_locus_tag=ISX45_00010
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1209	1352	+	WP_228485594.1	WP_228485594.1		hypothetical protein			ISX45_RS00010	144	47	
gene	pseudogene	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1377	1832	+							ISX45_RS00015	456		pseudo;old_locus_tag=ISX45_00015
CDS	without_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1377	1832	+				ArpU family transcriptional regulator			ISX45_RS00015	456		pseudo
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1917	2120	-							ISX45_RS00020	204		old_locus_tag=ISX45_00020
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	1917	2120	-	WP_194519655.1	WP_194519655.1		hypothetical protein			ISX45_RS00020	204	67	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	2254	2817	-							ISX45_RS00025	564		old_locus_tag=ISX45_00025
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	2254	2817	-	WP_194519656.1	WP_194519656.1		cysteine hydrolase			ISX45_RS00025	564	187	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	3298	3837	+							ISX45_RS00030	540		old_locus_tag=ISX45_00030
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	3298	3837	+	WP_194520574.1	WP_194520574.1		GNAT family N-acetyltransferase			ISX45_RS00030	540	179	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	4061	4564	-							ISX45_RS00035	504		old_locus_tag=ISX45_00035
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	4061	4564	-	WP_194519657.1	WP_194519657.1		DinB family protein			ISX45_RS00035	504	167	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	5326	5814	+					dfr		ISX45_RS00040	489		old_locus_tag=ISX45_00040
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	5326	5814	+	WP_194519658.1	WP_194519658.1		DfrD/DfrG/DfrK family trimethoprim-resistant dihydrofolate reductase	dfr		ISX45_RS00040	489	162	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	6058	6930	+							ISX45_RS00045	873		old_locus_tag=ISX45_00045
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	6058	6930	+	WP_194519659.1	WP_194519659.1		AraC family transcriptional regulator			ISX45_RS00045	873	290	
gene	pseudogene	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	7225	7811	+							ISX45_RS19315	587		partial;pseudo
CDS	without_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	7225	7811	+				glucosaminidase domain-containing protein			ISX45_RS19315	587		partial;pseudo
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	7875	8003	+							ISX45_RS19320	129		
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	7875	8003	+	WP_228485740.1	WP_228485740.1		LysM peptidoglycan-binding domain-containing protein			ISX45_RS19320	129	42	
gene	pseudogene	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	8291	8585	+					yjcZ		ISX45_RS19325	295		pseudo
CDS	without_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	8291	8585	+				sporulation protein YjcZ	yjcZ		ISX45_RS19325	295		pseudo
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	9421	9762	-							ISX45_RS00070	342		old_locus_tag=ISX45_00070
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	9421	9762	-	WP_194519661.1	WP_194519661.1		hypothetical protein			ISX45_RS00070	342	113	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	10164	10424	+							ISX45_RS00075	261		old_locus_tag=ISX45_00075
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	10164	10424	+	WP_228485595.1	WP_228485595.1		DUF2164 domain-containing protein			ISX45_RS00075	261	86	
gene	protein_coding	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	10885	11775	+							ISX45_RS00080	891		old_locus_tag=ISX45_00080
CDS	with_protein	GCF_015326725.1	Primary Assembly	chromosome		NZ_CP064060.1	10885	11775	+	WP_194519539.1	WP_194519539.1		transposase			ISX45_RS00080	891	296	
